Date,Memory_Usage_Percentage,CPU_Usage_Percentage,Disk_Usage_Percentage,Monthly_Maintenance,Quarterly_Deployments,High_Severity_Issues
2023-01-01,65.9605698361348,64.77803150605494,88.70028612234435,1,0,0
2023-01-02,58.34082838594578,76.03366467258749,60.51905333723923,0,0,0
2023-01-03,67.7722624572083,72.2266632140723,93.79806613714732,0,0,0
2023-01-04,78.2763582768963,73.75816977387896,43.13799349829183,0,0,0
2023-01-05,57.19015950331997,58.0858238906016,108.69973529581546,0,0,0
2023-01-06,57.19035651660983,72.44118313666097,95.34233957791304,0,0,0
2023-01-07,78.95055378608869,80.96396924241809,90.14471362353301,0,0,0
2023-01-08,69.20921674983491,98.12058494031075,107.58458361469233,0,0,0
2023-01-09,54.366307368780575,89.26687486953372,123.97138666710183,0,0,0
2023-01-10,66.51072052303158,110.75728423520802,108.34488156043513,0,0,0
2023-01-11,54.43898768625045,58.187743868015104,39.81901844804052,0,0,0
2023-01-12,54.411242957156915,87.70177146097221,53.290152798343165,0,0,0
2023-01-13,62.9035472587924,75.30015610329032,69.0043541353037,0,0,0
2023-01-14,37.04063706410642,111.41645279791811,84.62618520506001,0,0,0
2023-01-15,32.75082167486967,47.87552571967273,80.35318040938246,0,0,0
2023-01-16,44.37712470759027,47.40417236728836,55.48512373693069,0,0,0
2023-01-17,39.87168879665576,51.009110318339665,73.73533528954157,0,0,0
2023-01-18,53.142473325952736,28.141564135352898,54.89234135293355,0,0,0
2023-01-19,40.91975924478789,52.113674674788584,57.76964394016103,0,0,0
2023-01-20,35.87696298664709,48.61301007669453,41.866778063035554,0,0,0
2023-01-21,64.65648768921554,62.25590679714311,51.535335077781916,0,0,0
2023-01-22,47.74223699513465,65.12633963665739,42.966307887673324,0,0,0
2023-01-23,50.67528204687924,88.14256258823829,50.48253494045335,0,0,0
2023-01-24,35.75251813786544,74.25635757279075,91.07283593215679,0,0,0
2023-01-25,44.556172754748175,51.346445165063955,51.01202222336114,0,0,0
2023-01-26,51.10922589709866,46.52377992977463,122.64764129674782,0,0,0
2023-01-27,38.490064225776976,67.37878757259759,79.86635801761778,0,0,0
2023-01-28,53.75698018345672,40.19650189469037,73.69672247389748,0,0,0
2023-01-29,52.792335720974336,104.96625778537837,63.39941327565088,0,0,0
2023-01-30,56.49967500248068,93.22992217298317,100.8074371058158,0,0,0
2023-01-31,52.77952065324724,63.55483826211531,70.18469217029343,1,0,0
2023-02-01,82.22733821410726,41.1635784763642,86.92823555148867,0,0,0
2023-02-02,59.83803330314479,96.36970273497742,145.4420289184511,0,0,0
2023-02-03,47.30746885252919,69.93828278545287,81.6945624066084,0,0,0
2023-02-04,69.87053894523827,94.28069361552231,111.58255983085623,0,0,0
2023-02-05,45.34987620034773,43.30030214170139,67.1237657969787,0,0,0
2023-02-06,62.50636314005706,61.21124958683208,83.1602762280729,0,0,0
2023-02-07,36.483958513442694,72.0943865949273,126.49921525525224,0,0,0
2023-02-08,44.06176741321883,72.84565068776536,68.95279061309357,0,0,0
2023-02-09,62.362334830429475,63.89882151337361,127.49876539192628,0,0,0
2023-02-10,68.86159895994493,83.21129878225497,100.9860464509314,0,0,0
2023-02-11,62.05641937427964,52.78283227111329,70.50079737853757,0,0,0
2023-02-12,48.843517176117594,57.8643077246806,82.64815478111042,0,0,0
2023-02-13,46.98896304410711,61.804434475678484,89.4510889925346,0,0,0
2023-02-14,35.214780096325725,67.71658251088124,82.43619924434392,0,0,0
2023-02-15,42.801557916052914,70.67422317133335,38.59550560219087,0,0,1
2023-02-16,45.393612290402125,43.13036862243196,55.45725648350263,0,0,0
2023-02-17,60.57122226218915,36.98828743896567,65.0496272889699,0,0,0
2023-02-18,53.43618289568462,79.16515232847763,68.51133141799907,0,0,0
2023-02-19,32.36959844637266,64.98471017969388,82.41344195101357,0,0,0
2023-02-20,53.24083969394795,48.7727019516517,73.55402001866507,0,0,0
2023-02-21,46.149177195836835,83.26727963283784,43.29311282579798,0,0,0
2023-02-22,43.23077999694041,61.73511951439288,77.60395702011927,0,0,0
